Sentiment Analysis Online Tool								
http://text-processing.com/demo/sentiment/								
								
Visualization, Machine Learning, Security								
10 each for 30 total								
COMPUTER SCIENCE								
NAME	CATEGORY	AUTHORS	LOCATION	NEUTRAL	POLAR	POLAR POS	POLAR NEG	LINK
Unsupervised and Supervised Machine Learning in User Modeling for Intelligent Learning Environments 	Machine Learning	Saleema Amershi	University of British Columbia	0.2	0.8	0.6	0.4	http://dl.acm.org/citation.cfm?id=1216295.1216315&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
Toward harnessing user feedback for machine learning	Machine Learning	Simone Stumpf	Oregon State University	0.2	0.8	0.6	0.4	http://dl.acm.org/citation.cfm?id=1216295.1216316&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
Interactive machine learning	Machine Learning	Jerry Allen Fails	Brigham Young University	0.2	0.8	0.6	0.4	http://dl.acm.org/citation.cfm?id=604045.604056&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
Real-Time Collaborative Filtering Using Extreme Learning Machine	Machine Learning	Wanyu Deng	Xian Jiao Tong University	0.2	0.8	0.6	0.4	http://dl.acm.org/citation.cfm?id=1632190.1632388&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
User interface adaptation based on user feedback and machine learning	Machine Learning	Nesrine Mezhoudi 	Université catholique de Louvain 	0.9	0.1			http://dl.acm.org/citation.cfm?id=2451176.2451184&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
Supporting Customer Searches in E-marketplaces by Means of Fuzzy Logic-Based Machine Learning	Machine Learning	J. Albusac	Universidad de Castilla-La Mancha	0.8	0.2			http://dl.acm.org/citation.cfm?id=2451176.2451184&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
An ontology-based interface for machine learning	Machine Learning	Mathias Bauer	German Research Center for Artificial Intelligence (DFKI) 	0.5	0.5	0.6	0.4	http://dl.acm.org/citation.cfm?id=1040830.1040911&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
Designing social choice mechanisms using machine learning	Machine Learning	Lirong Xia	Harvard University	0.5	0.5			http://dl.acm.org/citation.cfm?id=2484920.2484995&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
Ranking Web Pages Using Machine Learning Approaches	Machine Learning	Sweah Liang Yong	University of Wollongong	0.2	0.8	0.8	0.2	http://dl.acm.org/citation.cfm?id=1487207.1487317&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
A comparison of machine learning techniques for modeling human-robot interaction with children with autism	Machine Learning	Elaine Short	University of Southern California	0.8	0.2			http://dl.acm.org/citation.cfm?id=1957656.1957756&coll=DL&dl=GUIDE&CFID=460353017&CFTOKEN=87324358
